[2018-07-18T17:25:08.361] [DEBUG] logs\debug.log - Result of conversion: 2.14
[2018-07-18T17:25:08.366] [DEBUG] logs\debug.log - Started processing transaction Jon A -> Gergana I £2.14
@Tue Jan 01 2013 00:00:00 GMT+0000 message: Sandbox Help
[2018-07-18T17:25:08.367] [DEBUG] logs\debug.log - Adding new user Jon A to Map
[2018-07-18T17:25:08.368] [DEBUG] logs\debug.log - Created User instance Jon A
[2018-07-18T17:25:08.369] [DEBUG] logs\debug.log - Deducting 214 from Jon A
[2018-07-18T17:25:08.369] [DEBUG] logs\debug.log - Adding new user Gergana I to Map
[2018-07-18T17:25:08.370] [DEBUG] logs\debug.log - Created User instance Gergana I
[2018-07-18T17:25:08.371] [DEBUG] logs\debug.log - Adding 214 to Gergana I
[2018-07-18T17:25:08.372] [DEBUG] logs\debug.log - Converting 1053 to string
[2018-07-18T17:25:08.372] [DEBUG] logs\debug.log - Result of conversion: 10.53
[2018-07-18T17:25:08.373] [DEBUG] logs\debug.log - Started processing transaction Chris W -> Dan W £10.53
@Fri Jan 04 2013 00:00:00 GMT+0000 message: Coffee
[2018-07-18T17:25:08.374] [DEBUG] logs\debug.log - Adding new user Chris W to Map
[2018-07-18T17:25:08.375] [DEBUG] logs\debug.log - Created User instance Chris W
[2018-07-18T17:25:08.375] [DEBUG] logs\debug.log - Deducting 1053 from Chris W
[2018-07-18T17:25:08.376] [DEBUG] logs\debug.log - Adding new user Dan W to Map
[2018-07-18T17:25:08.377] [DEBUG] logs\debug.log - Created User instance Dan W
[2018-07-18T17:25:08.378] [DEBUG] logs\debug.log - Adding 1053 to Dan W
[2018-07-18T17:25:08.378] [DEBUG] logs\debug.log - Converting 1057 to string
[2018-07-18T17:25:08.379] [DEBUG] logs\debug.log - Result of conversion: 10.57
[2018-07-18T17:25:08.380] [DEBUG] logs\debug.log - Started processing transaction Stephen S -> Tim L £10.57
@Sat Jan 05 2013 00:00:00 GMT+0000 message: Sandcastle Help
[2018-07-18T17:25:08.381] [DEBUG] logs\debug.log - Adding new user Stephen S to Map
[2018-07-18T17:25:08.386] [DEBUG] logs\debug.log - Created User instance Stephen S
[2018-07-18T17:25:08.387] [DEBUG] logs\debug.log - Deducting 1057 from Stephen S
[2018-07-18T17:25:08.393] [DEBUG] logs\debug.log - Adding new user Tim L to Map
[2018-07-18T17:25:08.394] [DEBUG] logs\debug.log - Created User instance Tim L
[2018-07-18T17:25:08.395] [DEBUG] logs\debug.log - Adding 1057 to Tim L
[2018-07-18T17:25:08.395] [DEBUG] logs\debug.log - Converting 819 to string
[2018-07-18T17:25:08.396] [DEBUG] logs\debug.log - Result of conversion: 8.19
[2018-07-18T17:25:08.397] [DEBUG] logs\debug.log - Started processing transaction Todd -> Rob S £8.19
@Wed Jan 09 2013 00:00:00 GMT+0000 message: Coffee
[2018-07-18T17:25:08.398] [DEBUG] logs\debug.log - Adding new user Todd to Map
